ablation_value,comparison,delta,fixture_id,l4_value,metric
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.5,safe_rate
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:authority_unknown:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:authority_unknown:business-0,1.0,route_coverage
1497.625,L4 minus L4_no_recovery,5.0,final-v1:long_chain_fork:authority_unknown:business-0,1502.625,tokens_per_decision
0.5,L4 minus L3_coarse,-0.5,final-v1:long_chain_fork:authority_unknown:business-0,0.0,unsafe_rate
0.5,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.5,safe_rate
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:authority_unknown:business-0,1.0,unrelated_retention
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,overfreeze_rate
1.5,L4 minus L3_coarse,-1.5,final-v1:long_chain_fork:authority_unknown:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:authority_unknown:business-0,1.0,route_coverage
2309.1176470588234,L4 minus L3_coarse,-806.4926470588234,final-v1:long_chain_fork:authority_unknown:business-0,1502.625,tokens_per_decision
0.5,L4 minus verify_all,-0.5,final-v1:long_chain_fork:authority_unknown:business-0,0.0,unsafe_rate
0.5,L4 minus verify_all,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.5,safe_rate
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:authority_unknown:business-0,1.0,unrelated_retention
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,overfreeze_rate
1.5,L4 minus verify_all,-1.5,final-v1:long_chain_fork:authority_unknown:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:authority_unknown:business-0,1.0,route_coverage
1499.125,L4 minus verify_all,3.5,final-v1:long_chain_fork:authority_unknown:business-0,1502.625,tokens_per_decision
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_push,0.25,final-v1:long_chain_fork:branch_retraction:business-0,0.75,safe_rate
0.6666666666666666,L4 minus L4_no_push,0.33333333333333337,final-v1:long_chain_fork:branch_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:branch_retraction:business-0,1.0,route_coverage
2399.4117647058824,L4 minus L4_no_push,-816.4742647058824,final-v1:long_chain_fork:branch_retraction:business-0,1582.9375,tokens_per_decision
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_fact,0.25,final-v1:long_chain_fork:branch_retraction:business-0,0.75,safe_rate
0.6666666666666666,L4 minus L4_no_fact,0.33333333333333337,final-v1:long_chain_fork:branch_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:branch_retraction:business-0,1.0,route_coverage
1872.764705882353,L4 minus L4_no_fact,-289.8272058823529,final-v1:long_chain_fork:branch_retraction:business-0,1582.9375,tokens_per_decision
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,unsafe_rate
0.75,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.75,safe_rate
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:branch_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:branch_retraction:business-0,1.0,route_coverage
1363.875,L4 minus L4_no_recovery,219.0625,final-v1:long_chain_fork:branch_retraction:business-0,1582.9375,tokens_per_decision
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,unsafe_rate
0.5,L4 minus L3_coarse,0.25,final-v1:long_chain_fork:branch_retraction:business-0,0.75,safe_rate
0.6666666666666666,L4 minus L3_coarse,0.33333333333333337,final-v1:long_chain_fork:branch_retraction:business-0,1.0,unrelated_retention
0.3333333333333333,L4 minus L3_coarse,-0.3333333333333333,final-v1:long_chain_fork:branch_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:branch_retraction:business-0,1.0,route_coverage
1336.625,L4 minus L3_coarse,246.3125,final-v1:long_chain_fork:branch_retraction:business-0,1582.9375,tokens_per_decision
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,unsafe_rate
0.5,L4 minus verify_all,0.25,final-v1:long_chain_fork:branch_retraction:business-0,0.75,safe_rate
0.6666666666666666,L4 minus verify_all,0.33333333333333337,final-v1:long_chain_fork:branch_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:branch_retraction:business-0,1.0,route_coverage
1570.25,L4 minus verify_all,12.6875,final-v1:long_chain_fork:branch_retraction:business-0,1582.9375,tokens_per_decision
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.5,safe_rate
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,route_coverage
1600.8235294117646,L4 minus L4_no_push,-23.07352941176464,final-v1:long_chain_fork:conflicting_sources:business-0,1577.75,tokens_per_decision
0.5,L4 minus L4_no_fact,-0.5,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.5,safe_rate
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,overfreeze_rate
1.5,L4 minus L4_no_fact,-1.5,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,route_coverage
1585.1875,L4 minus L4_no_fact,-7.4375,final-v1:long_chain_fork:conflicting_sources:business-0,1577.75,tokens_per_decision
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.5,safe_rate
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,route_coverage
1371.8125,L4 minus L4_no_recovery,205.9375,final-v1:long_chain_fork:conflicting_sources:business-0,1577.75,tokens_per_decision
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,unsafe_rate
0.5,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.5,safe_rate
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,unrelated_retention
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,overfreeze_rate
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,route_coverage
1727.7777777777778,L4 minus L3_coarse,-150.02777777777783,final-v1:long_chain_fork:conflicting_sources:business-0,1577.75,tokens_per_decision
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,unsafe_rate
0.5,L4 minus verify_all,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.5,safe_rate
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,unrelated_retention
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,overfreeze_rate
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,route_coverage
2564.722222222222,L4 minus verify_all,-986.9722222222222,final-v1:long_chain_fork:conflicting_sources:business-0,1577.75,tokens_per_decision
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.5,safe_rate
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,route_coverage
3431.5263157894738,L4 minus L4_no_push,-1359.8596491228072,final-v1:long_chain_fork:intermediate_retraction:business-0,2071.6666666666665,tokens_per_decision
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,unsafe_rate
0.25,L4 minus L4_no_fact,0.25,final-v1:long_chain_fork:intermediate_retraction:business-0,0.5,safe_rate
0.5,L4 minus L4_no_fact,0.5,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,route_coverage
2705.157894736842,L4 minus L4_no_fact,-633.4912280701756,final-v1:long_chain_fork:intermediate_retraction:business-0,2071.6666666666665,tokens_per_decision
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,unsafe_rate
0.0,L4 minus L4_no_recovery,0.5,final-v1:long_chain_fork:intermediate_retraction:business-0,0.5,safe_rate
0.0,L4 minus L4_no_recovery,1.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,route_coverage
2431.1,L4 minus L4_no_recovery,-359.4333333333334,final-v1:long_chain_fork:intermediate_retraction:business-0,2071.6666666666665,tokens_per_decision
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,unsafe_rate
0.0,L4 minus L3_coarse,0.5,final-v1:long_chain_fork:intermediate_retraction:business-0,0.5,safe_rate
0.0,L4 minus L3_coarse,1.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,unrelated_retention
0.5,L4 minus L3_coarse,-0.5,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,recovery_rate_confirmed
