audit_rejected_evidence,authority_confirmed,budget_decisions,budget_holds,completed_workflows,decision_count,error_action_blocks,explicit_action_opportunities,fact_queries,fault_action_opportunities,invalid_actions,invalid_decisions,invalid_outcomes,journal_attempts,journal_calls,journal_known_tokens,journal_malformed_lines,journal_unknown_usage,known_affected_tasks,known_tasks,known_tokens,known_unrelated_tasks,label,layer,model_holds,new_model_calls,notification_bytes,notifications,outcome_count,outcome_errors,overfreeze_rate_over_planned_unrelated,overfrozen_tasks,planned_affected_tasks,planned_tasks,planned_unrelated_tasks,planned_workflows,post_fault_error_branches,post_fault_error_handoffs,post_fault_error_organizations,post_fault_propagation_hops,propagation_handoffs_per_known_task,propagation_handoffs_per_planned_task,provider_attempts,provider_failed_attempt_rate,provider_failed_attempts,provider_failure_decisions,provider_failure_rate_per_decision,provider_returned_attempts,recovered_tasks,recovery_completed_over_known_affected,recovery_completed_over_planned_affected,recovery_model_stops,recovery_request_proposals,recovery_submitted,root_identity_count,route_coverage_known,route_reference_count,rpc_rejections,safe_final_completion,safe_rate_over_known_tasks,safe_rate_over_planned_tasks,status_queries,tokens_per_decision,total_tasks,true_model_holds,unknown_affected_tasks,unknown_tasks,unknown_unrelated_tasks,unknown_usage_attempts,unknown_workflows,unrelated_completed,unrelated_retention_over_known,unrelated_retention_over_planned,unrelated_task_count,unsafe_action_count,unsafe_completion_count,unsafe_rate_over_known_affected,unsafe_rate_over_known_tasks,unsafe_rate_over_planned_tasks,verified_route_count,worker_errors
0,0,0,0,6,109,0,102,1,52,0,0,0,109,109,82948,0,0,12,24,82948,12,L0,L0,6,109,0,0,102,0,0.0,0,12,24,12,6,12,40,36,24,1.6666666666666667,1.6666666666666667,109,0.0,0,0,0.0,109,0,0.0,0.0,0,0,0,0,0.0,136,0,12,0.5,0.5,2,760.9908256880734,24,6,0,0,0,0,0,12,1.0,1.0,12,12,12,1.0,0.5,0.5,0,0
0,0,0,0,5,91,0,86,0,44,0,0,0,91,91,138242,0,0,10,20,138242,10,L1,L1,4,91,0,0,86,0,0.0,0,12,24,12,6,10,34,30,20,1.7,1.4166666666666667,91,0.0,0,0,0.0,91,0,0.0,0.0,0,0,0,24,1.0,114,0,10,0.5,0.4166666666666667,0,1519.142857142857,20,4,2,4,2,0,1,10,1.0,0.8333333333333334,10,10,10,1.0,0.5,0.4166666666666667,114,0
0,0,0,0,5,92,0,86,6,44,0,0,0,92,92,156340,0,0,10,20,156340,10,L2,L2,3,92,0,0,86,0,0.0,0,12,24,12,6,10,34,30,20,1.7,1.4166666666666667,92,0.0,0,0,0.0,92,0,0.0,0.0,0,0,0,24,1.0,114,0,10,0.5,0.4166666666666667,108,1699.3478260869565,20,3,2,4,2,0,1,10,1.0,0.8333333333333334,10,10,10,1.0,0.5,0.4166666666666667,114,0
0,0,0,0,5,91,0,86,0,44,0,0,0,91,91,137624,0,0,10,20,137624,10,L3,L3,4,91,0,0,86,0,0.0,0,12,24,12,6,10,34,30,20,1.7,1.4166666666666667,91,0.0,0,0,0.0,91,0,0.0,0.0,0,0,0,24,1.0,114,0,10,0.5,0.4166666666666667,304,1512.3516483516485,20,4,2,4,2,0,1,10,1.0,0.8333333333333334,10,10,10,1.0,0.5,0.4166666666666667,114,0
0,5,4,4,5,133,44,86,170,44,0,0,0,130,129,306636,0,0,10,20,306636,10,L4,L4,4,129,283268,50,92,0,0.0,0,12,24,12,6,0,0,0,0,0.0,0.0,130,0.0,0,0,0.0,130,6,0.6,0.5,4,10,10,29,1.0,90,0,16,0.8,0.6666666666666666,305,2305.533834586466,20,0,2,4,2,0,1,10,1.0,0.8333333333333334,10,0,0,0.0,0.0,0.0,90,0
