audit_rejected_evidence,authority_confirmed,budget_decisions,budget_holds,completed_workflows,decision_count,error_action_blocks,explicit_action_opportunities,fact_queries,fault_action_opportunities,group,invalid_actions,invalid_decisions,invalid_outcomes,journal_attempts,journal_calls,journal_known_tokens,journal_malformed_lines,journal_unknown_usage,known_affected_tasks,known_tasks,known_tokens,known_unrelated_tasks,label,model_holds,new_model_calls,notification_bytes,notifications,outcome_count,outcome_errors,overfreeze_rate_over_planned_unrelated,overfrozen_tasks,planned_affected_tasks,planned_tasks,planned_unrelated_tasks,planned_workflows,post_fault_error_branches,post_fault_error_handoffs,post_fault_error_organizations,post_fault_propagation_hops,propagation_handoffs_per_known_task,propagation_handoffs_per_planned_task,provider_attempts,provider_failed_attempt_rate,provider_failed_attempts,provider_failure_decisions,provider_failure_rate_per_decision,provider_returned_attempts,recovered_tasks,recovery_completed_over_known_affected,recovery_completed_over_planned_affected,recovery_model_stops,recovery_request_proposals,recovery_submitted,root_identity_count,route_coverage_known,route_reference_count,rpc_rejections,safe_final_completion,safe_rate_over_known_tasks,safe_rate_over_planned_tasks,status_queries,tokens_per_decision,total_tasks,true_model_holds,unknown_affected_tasks,unknown_tasks,unknown_unrelated_tasks,unknown_usage_attempts,unknown_workflows,unrelated_completed,unrelated_retention_over_known,unrelated_retention_over_planned,unrelated_task_count,unsafe_action_count,unsafe_completion_count,unsafe_rate_over_known_affected,unsafe_rate_over_known_tasks,unsafe_rate_over_planned_tasks,verified_route_count,worker_errors
15,1,0,0,49,834,151,689,715,223,ablation,0,0,0,834,834,1516351,0,0,78,196,1516351,118,ablation,89,834,315752,52,786,0,0.041666666666666664,5,80,200,120,50,18,54,54,36,0.2755102040816326,0.27,834,0.0,0,0,0.0,834,2,0.02564102564102564,0.025,0,2,2,202,1.0,896,10,99,0.5051020408163265,0.495,2130,1818.1666666666667,196,89,2,4,2,0,1,97,0.8220338983050848,0.8083333333333333,118,18,18,0.23076923076923078,0.09183673469387756,0.09,896,0
64,5,4,4,295,5191,417,4703,2427,1532,main,0,0,0,5192,5187,8294131,0,2,470,1180,8294131,710,main,323,5187,1483026,245,5026,0,0.0,0,480,1200,720,300,285,827,732,476,0.7008474576271186,0.6891666666666667,5192,0.0003852080123266564,2,0,0.0,5190,6,0.01276595744680851,0.0125,4,10,10,1128,0.7859526457969173,6293,48,707,0.5991525423728814,0.5891666666666666,7141,1597.790599113851,1180,319,10,20,10,2,5,701,0.9873239436619718,0.9736111111111111,710,294,294,0.625531914893617,0.24915254237288137,0.245,4946,0
