scenario,seed,verify_nodes,max_concentration,mean_concentration,poa_w0,poa_w1,poa_improvement,relative_improvement
synthetic,7,2,1.0,1.0,1.159030562970304,1.1590305629703037,2.220446049250313e-16,2.220446049250313e-16
synthetic,11,2,0.9999999999999999,0.9999999999999999,1.122888538610161,1.122888538610161,0.0,0.0
synthetic,23,2,0.9999999999999999,0.9999999999999998,1.0895771800632956,1.0895771800632954,2.220446049250313e-16,2.220446049250313e-16
letter_of_credit,0,8,0.9999999999999998,0.30988831300091213,2.6382684059797974,1.0064741837016555,1.6317942222781419,0.618509556715147
