scenario,seed,node,reach_probability,downstream_expected_loss,total_expected_loss,concentration
synthetic,7,v0,1.0,3.3994388849617083,3.3994388849617083,1.0
synthetic,7,v1,1.0,3.3994388849617083,3.3994388849617083,1.0
synthetic,11,v0,1.0,3.045135691058492,3.0451356910584924,0.9999999999999999
synthetic,11,v1,1.0,3.045135691058492,3.0451356910584924,0.9999999999999999
synthetic,23,v0,1.0,3.2980325314001653,3.2980325314001657,0.9999999999999999
synthetic,23,v1,1.0,3.298032531400165,3.2980325314001657,0.9999999999999998
letter_of_credit,0,"('export_bank_review', 0)",1.0,5.0717233670309385,5.071723367030939,0.9999999999999998
letter_of_credit,0,"('issuing_review', 0)",1.0,5.0717233670309385,5.071723367030939,0.9999999999999998
letter_of_credit,0,"('export_bank_review', 1)",0.12,1.03035515703094,5.071723367030939,0.20315681326959376
letter_of_credit,0,"('issuing_review', 1)",0.12,1.03035515703094,5.071723367030939,0.20315681326959376
letter_of_credit,0,"('export_bank_review', 2)",0.0144,0.16170669500190699,5.071723367030939,0.03188397380919702
letter_of_credit,0,"('issuing_review', 2)",0.0144,0.16170669500190699,5.071723367030939,0.03188397380919702
letter_of_credit,0,"('export_bank_review', 3)",0.001728,0.022885973802309945,5.071723367030939,0.0045124649248580225
letter_of_credit,0,"('issuing_review', 3)",0.001728,0.022885973802309945,5.071723367030939,0.0045124649248580225
