scenario,seed,protocol,start,historical_poa,legacy_poa,omission0_poa,legacy_over_check_ratio_recomputed,omission0_over_check_ratio,poa_exact_equal,over_check_exact_equal
synthetic,7,black_box,0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,True,True
synthetic,7,black_box,1,1.159030562970304,1.159030562970304,1.159030562970304,0.5,0.5,True,True
synthetic,7,certificate,0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,True,True
synthetic,7,certificate,1,1.159030562970304,1.159030562970304,1.159030562970304,0.5,0.5,True,True
synthetic,7,verified_certificate,0,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,True,True
synthetic,7,verified_certificate,1,1.159030562970304,1.159030562970304,1.159030562970304,0.5,0.5,True,True
synthetic,11,black_box,0,1.0,1.0,1.0,1.0,1.0,True,True
synthetic,11,black_box,1,1.122888538610161,1.122888538610161,1.122888538610161,0.5,0.5,True,True
synthetic,11,certificate,0,1.0,1.0,1.0,1.0,1.0,True,True
synthetic,11,certificate,1,1.122888538610161,1.122888538610161,1.122888538610161,0.5,0.5,True,True
synthetic,11,verified_certificate,0,1.0,1.0,1.0,1.0,1.0,True,True
synthetic,11,verified_certificate,1,1.122888538610161,1.122888538610161,1.122888538610161,0.5,0.5,True,True
synthetic,23,black_box,0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,True,True
synthetic,23,black_box,1,1.0895771800632956,1.0895771800632956,1.0895771800632956,0.5,0.5,True,True
synthetic,23,certificate,0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,True,True
synthetic,23,certificate,1,1.0895771800632956,1.0895771800632956,1.0895771800632956,0.5,0.5,True,True
synthetic,23,verified_certificate,0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,True,True
synthetic,23,verified_certificate,1,1.0895771800632956,1.0895771800632956,1.0895771800632956,0.5,0.5,True,True
letter_of_credit,0,black_box,0,2.6382684059797974,2.6382684059797974,2.6382684059797974,0.0,0.0,True,True
letter_of_credit,0,black_box,1,2.6382684059797974,2.6382684059797974,2.6382684059797974,0.0,0.0,True,True
letter_of_credit,0,certificate,0,2.6382684059797974,2.6382684059797974,2.6382684059797974,0.0,0.0,True,True
letter_of_credit,0,certificate,1,2.6382684059797974,2.6382684059797974,2.6382684059797974,0.0,0.0,True,True
letter_of_credit,0,verified_certificate,0,2.6382684059797974,2.6382684059797974,2.6382684059797974,0.0,0.0,True,True
letter_of_credit,0,verified_certificate,1,2.6382684059797974,2.6382684059797974,2.6382684059797974,0.0,0.0,True,True
