scenario,seed,ablation_node,alignment,protocol,target,w_omit,converged,rounds,social_cost,social_optimum,observed_poa,expected_checks,optimal_checks,over_check_ratio,exploitability,converged_starts,starts,check_ratio_min,check_ratio_max
synthetic,11,,baseline,verified_certificate,resp-Omission@2,2.0,True,2,1.0750172188616047,0.9573677011541964,1.1228885386101608,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,black_box,selfish,,True,2,1.1368761409408923,1.043410381332371,1.0895771800632952,1.0,2.0,0.5,0.0,2,2,0.5,0.5
synthetic,23,,baseline,black_box,resp-Proportional,,True,2,1.1368761409408927,1.043410381332371,1.0895771800632956,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,black_box,resp-Omission@0,0.0,True,2,1.1368761409408927,1.043410381332371,1.0895771800632956,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,black_box,resp-Omission@0.5,0.5,True,2,1.1368761409408925,1.043410381332371,1.0895771800632954,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,black_box,resp-Omission@1,1.0,True,2,1.1368761409408925,1.043410381332371,1.0895771800632954,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,black_box,resp-Omission@2,2.0,True,2,1.0434103813323712,1.043410381332371,1.0000000000000002,2.0,2.0,1.0,0.0,2,2,1.0,1.0
synthetic,23,,baseline,certificate,selfish,,True,2,1.1368761409408923,1.043410381332371,1.0895771800632952,1.0,2.0,0.5,0.0,2,2,0.5,0.5
synthetic,23,,baseline,certificate,resp-Proportional,,True,2,1.1368761409408927,1.043410381332371,1.0895771800632956,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,certificate,resp-Omission@0,0.0,True,2,1.1368761409408927,1.043410381332371,1.0895771800632956,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,certificate,resp-Omission@0.5,0.5,True,2,1.1368761409408925,1.043410381332371,1.0895771800632954,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,certificate,resp-Omission@1,1.0,True,2,1.1368761409408925,1.043410381332371,1.0895771800632954,1.0,2.0,0.5,0.0,2,2,0.5,1.0
